intervention_id,student_id,intervention_type,intervention_date,staff_assigned,outcome
3176,3737,At-Risk Outreach,2023-11-10,Advisor Chen,No Response
3177,3737,At-Risk Outreach,2023-10-11,Advisor Garcia,No Response
3178,3743,Career Counseling,2023-12-24,Advisor Garcia,Follow-up Needed
3179,3743,Academic Planning,2023-12-09,Advisor Garcia,Successful
3180,3744,Career Counseling,2023-10-28,Advisor Garcia,Follow-up Needed
3181,3751,Financial Aid Guidance,2023-10-19,Advisor Garcia,In Progress
3182,3751,Financial Aid Guidance,2023-12-27,Advisor Chen,In Progress
3183,3754,Financial Aid Guidance,2023-12-19,Advisor Smith,Follow-up Needed
3184,3755,Academic Planning,2023-11-04,Advisor Garcia,In Progress
3185,3755,Financial Aid Guidance,2023-11-27,Advisor Jones,Successful
3186,3759,At-Risk Outreach,2023-12-17,Advisor Smith,In Progress
3187,3760,Career Counseling,2023-10-02,Advisor Garcia,No Response
3188,3760,Academic Planning,2023-12-08,Advisor Chen,Follow-up Needed
3189,3761,Career Counseling,2023-10-23,Advisor Garcia,No Response
3190,3763,Financial Aid Guidance,2023-12-22,Advisor Smith,Successful
3191,3763,Financial Aid Guidance,2023-10-28,Advisor Garcia,Follow-up Needed
3192,3764,Career Counseling,2023-10-09,Advisor Jones,Follow-up Needed
3193,3767,At-Risk Outreach,2023-10-21,Advisor Chen,Follow-up Needed
3194,3771,At-Risk Outreach,2023-10-09,Advisor Garcia,Follow-up Needed
3195,3777,Financial Aid Guidance,2023-12-26,Advisor Jones,In Progress
3196,3777,Financial Aid Guidance,2023-11-06,Advisor Chen,In Progress
3197,3778,At-Risk Outreach,2023-10-25,Advisor Smith,In Progress
3198,3782,Academic Planning,2023-11-08,Advisor Garcia,In Progress
3199,3787,Career Counseling,2023-12-11,Advisor Chen,No Response
3200,3793,At-Risk Outreach,2023-11-19,Advisor Jones,Successful
3201,3794,Academic Planning,2023-12-22,Advisor Smith,No Response
3202,3794,Career Counseling,2023-10-04,Advisor Smith,No Response
3203,3798,Financial Aid Guidance,2023-10-10,Advisor Chen,Follow-up Needed
3204,3798,Academic Planning,2023-12-05,Advisor Garcia,Successful
3205,3803,Career Counseling,2023-10-24,Advisor Garcia,In Progress
3206,3803,Financial Aid Guidance,2023-11-03,Advisor Chen,In Progress
3207,3809,Career Counseling,2023-10-25,Advisor Smith,Successful
3208,3809,At-Risk Outreach,2023-12-03,Advisor Smith,Follow-up Needed
3209,3810,Career Counseling,2023-11-20,Advisor Jones,Follow-up Needed
3210,3818,Career Counseling,2023-11-30,Advisor Garcia,In Progress
3211,3820,Financial Aid Guidance,2023-11-05,Advisor Smith,In Progress
3212,3821,Academic Planning,2023-11-23,Advisor Garcia,In Progress
3213,3826,Academic Planning,2023-10-22,Advisor Chen,Follow-up Needed
3214,3828,Academic Planning,2023-11-26,Advisor Jones,Successful
3215,3830,Financial Aid Guidance,2023-11-15,Advisor Garcia,Successful
3216,3830,Academic Planning,2023-10-03,Advisor Smith,Follow-up Needed
3217,3836,Financial Aid Guidance,2023-11-03,Advisor Smith,No Response
3218,3836,Academic Planning,2023-12-22,Advisor Smith,Successful
3219,3837,Financial Aid Guidance,2023-10-06,Advisor Chen,Follow-up Needed
3220,3837,Career Counseling,2023-11-05,Advisor Chen,No Response
3221,3841,At-Risk Outreach,2023-10-19,Advisor Jones,No Response
3222,3841,Career Counseling,2023-10-23,Advisor Smith,No Response
3223,3842,Career Counseling,2023-10-03,Advisor Jones,No Response
3224,3842,Career Counseling,2023-11-18,Advisor Chen,Follow-up Needed
3225,3845,Career Counseling,2023-12-15,Advisor Chen,In Progress
3226,3845,Financial Aid Guidance,2023-11-14,Advisor Garcia,Successful
3227,3849,At-Risk Outreach,2023-10-17,Advisor Garcia,No Response
3228,3852,Financial Aid Guidance,2023-11-24,Advisor Garcia,Successful
3229,3855,Financial Aid Guidance,2023-11-22,Advisor Smith,No Response
3230,3855,Career Counseling,2023-10-02,Advisor Jones,Successful
3231,3857,Financial Aid Guidance,2023-12-19,Advisor Chen,No Response
3232,3857,Academic Planning,2023-12-17,Advisor Smith,No Response
3233,3864,Career Counseling,2023-12-11,Advisor Garcia,Follow-up Needed
3234,3865,Academic Planning,2023-12-22,Advisor Smith,In Progress
3235,3867,Career Counseling,2023-10-11,Advisor Smith,No Response
3236,3880,Career Counseling,2023-11-28,Advisor Smith,Successful
3237,3885,Financial Aid Guidance,2023-12-11,Advisor Jones,Successful
3238,3885,Academic Planning,2023-12-18,Advisor Garcia,In Progress
3239,3886,Financial Aid Guidance,2023-12-13,Advisor Chen,In Progress
3240,3890,Financial Aid Guidance,2023-11-15,Advisor Smith,In Progress
3241,3904,Academic Planning,2023-11-02,Advisor Garcia,No Response
3242,3907,Financial Aid Guidance,2023-12-13,Advisor Smith,Successful
3243,3907,Academic Planning,2023-12-12,Advisor Jones,Follow-up Needed
3244,3908,At-Risk Outreach,2023-10-22,Advisor Garcia,Follow-up Needed
3245,3909,Career Counseling,2023-10-05,Advisor Chen,In Progress
3246,3911,Financial Aid Guidance,2023-11-04,Advisor Smith,Follow-up Needed
3247,3911,Academic Planning,2023-10-26,Advisor Smith,No Response
3248,3913,Financial Aid Guidance,2023-11-19,Advisor Smith,In Progress
3249,3918,Career Counseling,2023-10-30,Advisor Smith,In Progress
3250,3918,Financial Aid Guidance,2023-10-22,Advisor Smith,Successful
3251,3920,Financial Aid Guidance,2023-11-19,Advisor Chen,No Response
3252,3920,Academic Planning,2023-10-10,Advisor Chen,Follow-up Needed
3253,3921,At-Risk Outreach,2023-10-08,Advisor Chen,In Progress
3254,3922,Academic Planning,2023-10-06,Advisor Garcia,Follow-up Needed
3255,3928,At-Risk Outreach,2023-11-23,Advisor Chen,No Response
3256,3931,At-Risk Outreach,2023-11-20,Advisor Chen,Follow-up Needed
3257,3934,Career Counseling,2023-12-28,Advisor Chen,Successful
3258,3937,Career Counseling,2023-10-25,Advisor Smith,No Response
3259,3939,Career Counseling,2023-12-09,Advisor Chen,Follow-up Needed
3260,3941,Financial Aid Guidance,2023-11-18,Advisor Chen,No Response
3261,3950,Financial Aid Guidance,2023-12-20,Advisor Jones,Follow-up Needed
3262,3950,Academic Planning,2023-11-14,Advisor Garcia,Successful
3263,3955,Career Counseling,2023-11-21,Advisor Smith,No Response
3264,3959,At-Risk Outreach,2023-11-24,Advisor Garcia,Follow-up Needed
3265,3963,Career Counseling,2023-10-03,Advisor Chen,Successful
3266,3963,Academic Planning,2023-12-09,Advisor Smith,In Progress
3267,3965,Career Counseling,2023-12-24,Advisor Jones,Successful
3268,3965,At-Risk Outreach,2023-12-18,Advisor Smith,In Progress
3269,3971,At-Risk Outreach,2023-10-23,Advisor Garcia,Follow-up Needed
3270,3973,Financial Aid Guidance,2023-10-22,Advisor Jones,No Response
3271,3973,Academic Planning,2023-12-12,Advisor Jones,Successful
3272,3980,Career Counseling,2023-12-07,Advisor Smith,In Progress
3273,3980,At-Risk Outreach,2023-12-11,Advisor Garcia,Successful
3274,3982,Career Counseling,2023-11-21,Advisor Smith,No Response
3275,3982,Financial Aid Guidance,2023-10-01,Advisor Smith,No Response
3276,3986,Financial Aid Guidance,2023-12-20,Advisor Chen,Follow-up Needed
3277,3986,Academic Planning,2023-10-17,Advisor Chen,Successful
3278,3988,At-Risk Outreach,2023-11-20,Advisor Jones,In Progress
3279,3988,Academic Planning,2023-10-24,Advisor Chen,No Response
3280,3991,Academic Planning,2023-11-03,Advisor Garcia,No Response
3281,3993,Academic Planning,2023-11-02,Advisor Chen,Follow-up Needed
3282,3994,Academic Planning,2023-10-18,Advisor Garcia,No Response
3283,3996,Academic Planning,2023-12-05,Advisor Jones,Follow-up Needed
3284,3996,Financial Aid Guidance,2023-10-28,Advisor Chen,No Response
3285,3997,Career Counseling,2023-11-17,Advisor Smith,Successful
3286,3997,Academic Planning,2023-12-28,Advisor Garcia,Successful
